Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
Castanhal,2019-12-08 00:00:00+00:00,0.2414634146341463,1005.219512195122,1005.4945121951222,1004.9481707317074,1290.0488636363639,27.445121951219523,22.431707317073165,27.976829268292697,26.987195121951228,22.838414634146343,22.078048780487805,78.21341463414635,73.39634146341463,75.89634146341463,62.0609756097561,3.373780487804878,0.22682926829268293
Castanhal,2019-12-15 00:00:00+00:00,0.44691358024691363,1004.3314814814812,1004.6222222222224,1004.0320987654324,1246.3448275862067,26.667283950617286,22.85740740740741,27.283950617283956,26.129629629629623,23.32839506172839,22.395679012345678,83.20987654320987,78.27160493827161,80.9074074074074,119.0246913580247,3.0006172839506173,0.1827160493827161
Castanhal,2019-12-22 00:00:00+00:00,0.9583333333333331,1004.4249999999998,1004.7511904761906,1004.1041666666666,1096.6054945054943,26.428571428571423,23.122023809523803,26.955357142857142,25.892261904761902,23.56369047619047,22.713095238095242,85.41666666666667,80.75,83.03571428571429,111.16071428571429,3.012499999999999,0.15535714285714283
Castanhal,2019-12-29 00:00:00+00:00,0.1773809523809524,1004.1732142857139,1004.4589285714289,1003.9059523809517,1243.638043478261,27.639285714285723,23.3452380952381,28.18273809523811,27.149999999999995,23.789285714285725,22.95714285714286,81.125,76.28571428571429,78.71428571428571,75.64880952380952,3.6327380952380963,0.23690476190476206
Castanhal,2020-01-05 00:00:00+00:00,0.22916666666666666,1004.5416666666669,1004.7625000000002,1004.2583333333337,651.9076923076924,25.454166666666666,23.15833333333333,25.78333333333333,25.212499999999995,23.431250000000006,22.96249999999999,88.25,86.0625,87.35416666666667,73.14583333333333,1.0666666666666667,0.006250000000000001
Dom Eliseu,2019-01-06 00:00:00+00:00,0.08472222222222221,982.6395833333341,982.9319444444455,982.3430555555557,1437.3782051282049,26.24930555555555,,26.816666666666666,25.748611111111114,,,,,,93.61805555555556,4.645833333333336,1.9965277777777766
Dom Eliseu,2019-01-13 00:00:00+00:00,0.29761904761904767,982.6202380952385,982.9375000000006,982.3071428571429,1199.8184782608698,24.235119047619044,,24.718452380952378,23.78452380952381,,,,,,138.80357142857142,4.364285714285716,1.6952380952380952
Dom Eliseu,2019-01-20 00:00:00+00:00,0.36547619047619057,983.4547619047617,983.7779761904758,983.1345238095234,1290.8467391304346,24.769642857142863,,25.281547619047625,24.26547619047619,,,,,,129.5,3.938690476190477,1.5369047619047618
Dom Eliseu,2019-01-27 00:00:00+00:00,0.2119047619047619,983.2791666666665,983.5892857142856,982.9732142857143,1400.9549450549453,25.25297619047619,,25.787499999999994,24.72797619047619,,,,,,108.16071428571429,4.232738095238095,1.660714285714286
Dom Eliseu,2019-02-03 00:00:00+00:00,0.1392857142857143,982.4154761904763,982.7226190476189,982.1041666666666,1439.9336956521736,25.582142857142852,,26.182738095238093,25.05535714285715,,,,,,129.13095238095238,4.495238095238095,1.8077380952380953
