,Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
573,MARABA,2019-11-03 00:00:00+00:00,,996.4982142857143,996.7994047619048,996.2023809523806,1438.7078651685395,27.552380952380954,21.795833333333334,28.227380952380962,26.965476190476185,22.32619047619047,21.3297619047619,75.29166666666667,69.20833333333333,72.32142857142857,226.45833333333334,3.666071428571429,1.4374999999999996
574,MARABA,2019-11-10 00:00:00+00:00,,996.1148809523805,996.4535714285712,995.7863095238089,1278.831182795699,26.988095238095234,21.823809523809526,27.654166666666658,26.39464285714286,22.261309523809526,21.385119047619053,77.46428571428571,72.01190476190476,74.92261904761905,170.5,3.649999999999999,1.3684523809523808
575,MARABA,2019-11-17 00:00:00+00:00,,995.2029761904759,995.50119047619,994.8994047619047,1275.9031914893617,27.7154761904762,22.252380952380946,28.411309523809546,27.14880952380952,22.672619047619058,21.855357142857137,76.14880952380952,70.76785714285714,73.66666666666667,233.70833333333334,3.6321428571428567,1.3857142857142861
576,MARABA,2019-11-24 00:00:00+00:00,,997.0682432432425,997.3804054054045,996.7432432432427,1187.1880952380957,26.08310810810809,21.870270270270282,26.683108108108094,25.533108108108095,22.377027027027033,21.485810810810797,81.75675675675676,76.35135135135135,79.02702702702703,203.01351351351352,3.49527027027027,1.3304054054054055
577,MARABA,2019-12-01 00:00:00+00:00,0.0,996.3315476190468,996.6184523809515,996.028571428571,1180.8400000000001,26.738690476190463,22.68928571428571,27.323809523809523,26.24404761904762,23.201785714285716,22.205357142857128,82.42857142857143,76.8452380952381,79.81547619047619,184.79761904761904,3.2511904761904753,1.184523809523809
578,MARABA,2019-12-08 00:00:00+00:00,0.0,997.080357142857,997.3785714285716,996.7785714285717,1406.6903225806448,26.772619047619067,22.122023809523814,27.356547619047642,26.25238095238094,22.648809523809533,21.610714285714295,79.875,73.99404761904762,77.01190476190476,216.63095238095238,3.351785714285716,1.3083333333333333
579,MARABA,2019-12-15 00:00:00+00:00,0.2119047619047619,996.2922619047617,996.6083333333333,995.9714285714286,1315.5726315789477,26.79642857142857,22.383333333333336,27.45416666666667,26.274999999999988,22.9190476190476,21.920833333333338,81.06547619047619,75.07738095238095,78.17261904761905,215.6845238095238,3.4910714285714284,1.2892857142857144
580,MARABA,2019-12-22 00:00:00+00:00,0.09880952380952379,996.2422619047621,996.576190476191,995.9107142857144,1322.0760869565222,26.699404761904756,22.561309523809516,27.31309523809523,26.12321428571429,23.091666666666672,22.07678571428571,82.04761904761905,76.2797619047619,79.16071428571429,205.5,3.4827380952380946,1.2458333333333338
581,MARABA,2019-12-29 00:00:00+00:00,0.24285714285714283,996.4071428571418,996.7202380952374,996.0940476190468,1177.0758241758242,26.137499999999985,22.630952380952365,26.701190476190483,25.663690476190474,23.15833333333333,22.186904761904753,84.38095238095238,79.24404761904762,81.91071428571429,204.08333333333334,3.4622754491017975,1.293452380952381
582,MARABA,2020-01-05 00:00:00+00:00,0.25833333333333336,996.6874999999995,996.9812499999998,996.364583333333,952.4846153846154,24.918750000000003,21.952083333333334,25.314583333333328,24.545833333333338,22.349999999999998,21.664583333333336,86.41666666666667,82.4375,84.375,228.125,3.716666666666667,1.435416666666667
